input_text,target_text
"makayn li sifat pause gadak nta","ماكاين لي صفات pause قدك نتا"
"Had zbi dL'morphine m'inspiri mn dexter rule number 1 ftmerphine hiya ""never go to prison""","هاد زبي ديال لمورفين م'انسبيري من ديكستر رول واحد فتمورفين هيّا ""never go to prison"""
"dal3lo raso","دلعلو راسُو"
"Abdouelali Harkouzi der nefs à sa7bi","عبد العالي حركو زي در نفس لصاحبي"
"Ismail Lmesfioui hh hadchi li Ghadi ngol lik","إسماعيل لمسفيوي هه هاضي لي غادي نقول ليك"
"Zindin Se MOANING LI KIDIRO 97AB AFRIBABA AZBI HHHHHHHHHHHHHHHHHHHHHHHHHHHHH","زندين سي موانينڭ لي كيديو سبعة وتسعين افريبابا ازبي ههههههههههههههههههههههههههه"
"Ach dayr fi wadno wach salib osamho liya wach hata ntoma chatoh ola ghir ana hhh","آش داير في ودنو واش ساليب واسمحو ليا واش حتا نتوما شتوها ولا غير أنا ههه"
"Wa 3la excuse ghabra hhhhhhh","وا علا معذرة ڭبرا هههههه"
"Hmmmm....As3mooooo","همممم....أسمو"
"Diro les signalé bach yb9a endo mod Wahd hhhh","ديّرو لِس سيڭالاي باش يبقا إندو مود واحد ههه"
"Nta 3andek babak, 3tak l7ayat","نتا عندك باباك، عتاك الحياة"
"lah ykhlaf 3ala papa","الله يخلف علا بابا"
"Mdina dyal kula ydber lkro","مدينة ديال كل واحد يدبر كرشو"
"ghi sir t9awd chibani l7atek","غي سير تقود شيخاني لحاتك"
"Tafaha hadchi adrari khsk t3ti lbnadm istafd ula stop","تفاه هاضي أدراري خصك تعطي بنادم استفد اولا ستوب"
"Farou9 dawz 3andk chi tark","فاروق دوز عندك شي ترك"
"Rah m3a shayabha n3al lik walidin","راه مع شيابها نعال ليك والدين"
"Wa sir t9awd","وا سير تقود"
"Wa lah i3tik lkhdma fzekk","وا الله يعطيك الخدمة في الزك"
"Ach darti gaaaa3 sda3 ras fl mawa9i3 haw haw haw yalatif kolchi msad3o","آش درتي كاع سدّع راس في المواقع هاو هاو هاو يا لطيف كلشي مسدّع"
"Khdam ra nta w3mal flos rir nta alflos ali tji blhal9at nmxo n3amloham fjma3 alfna fdik mrakax","خدام را نتا وعمال فلوس غير نتا الفلوس اللي تجي بالحقّات نمشو نعاملوها في جماعة ألفنا في ديك مراكش"
"Sir tmot 10k dsargala 9lss syd o hyd mn lmizan o lbiro dyalo wa sir tmot","سير تموت عشرة آلاف دسرڭالة تسّع لسيد و هيد من الميزان و البيرو ديالو وا سير تموت"
"sir lah in3al tabon mok","سير الله ينعل طابون موك"
"Sir ghi t9wad lah yn3al tbon mok","سير ڭي تقود الله ينعل طابون موك"
"Ktbi3 lhot fhl nas oktgol knt3awn m3a lmaskin","كتبيع لحوت في هاد الناس وكتڭول كنتعاون مع المساكين"
"S7ab kerro fel 9obba dyl berlamane","سحاب كرو في القبة ديال البرلمان"
"Bsaliti bditi tratab dkhol so9 karak khir","بساليتي بديتي تراتاب دخول سوق كراك خير"
"Kichti nta tafartih","كيشيتي نتا تفارتيه"
"Hadak li wa9f f janb tl9a 3ando master","هاداك لي واقف في جنب تلقى عندو ماستر"
"Wach fik tab3a ola kifach dima chkawi","واش فيك طباع ولا كيفاش ديما شكاوي"
"Nta 3andk tarma kbira hhhh","نتا عندك ترما كبيرة"
"Nadi akhoya oktr lina mn vidyohat dyal trinag lmostawa motawasit chwiya bla Montag rah vvidyohat nadyin brojol","ناضي اخويا أوكتر لينا من فيديوهات ديال ترينڭ المستوى متوسط شوية بلا مونتاج راه فيديوهات ناضين بروجول"
"Les accessoires dyal la motos très très importantes Ana andi cool @la","ليس اسيسوار ديال لاموتوس تري تري مهمة أنا عندي كول لا"
"Hheihhrih3uggeiehi3hdhv3fj4ibcdjfhivfu dhchf","ههيهريهڭيهيههدحففجأربعةيبسدجفحيفوفو دشف"
"Maybe Mouad z3em","ممكن موعد زعيم"
"Ax had lkhra mal fmk bhala tatfrani bih","آش هاد لخرا مال فمك بحالا تتفراني بيه"
"Awdi ana chari kask nadi dah lina chi wa7d fo9 motor wlha ta 7a9dni 1200dh mechat hiya li kanksb daba 3adi ta3 120dh","أودي أنا شاري كاسك ناضي داه لينا شي واحد فوق موتور والله تا حڭدني ألف ومئتين درهم مشات هيّا لي كانكسب دابا عادي تع مية وعشرين درهم"
"ana dima wlah la n3as fkhatro","أنا ديما والله لا نعاس فخاطرو"
"Sir tahwa 9ad afomak","سير تهوا قدام فومك"
"Ma9siyin man ch7al hadi","معقسيين من شحال هادي"
"Kitelecharger gha mn Utorrent makinf3 b walo","كيتلشارجيه غا من يوتورنت ما كنفى ب والو"
"Ma ki suporter 7ta chi série ga3","ما كيسوبير حتا شي سيري ڭاع"
"Oki3ti ra2yo hhhhhh game of thrones khassro 2 seasons lkhrin","اوكيعتي رايوه هههههه ڭيم اوف ترونس خسرو سيزونين لخريين"
"Hhh chkon 3rf bli glso mora lvidyo","ههه شكون عرف بلي ڭلسو مورى لفيديو"
"Lah ihfdkom mn l3in achbab","الله يحفدكوم من العين اشباب"
"7mida setar ach kay3ti lhad nou3 selya","حميدة سطار آش كيعطي لهاد النوع سليا"
"Khasha li yhakha mzn Bach tabrad","خاشة لي يحكا مزن باش تبرّد"
"Khoyti 3ezaz","خوتي عزيز"
"Dando pro max radjla ta3 doka","داندو برو ماكس راجلة تع دوكا"
"Kon drto porno hsnlikom men had chouha","كون درتو بورنو حسن ليكم من هاد شوهة"
"3gouba likom 3okacha","عقوبة ليكم عكاشة"
"Dkhl 3ndi l9ana akhoya dir motaba3a layhfdk","دخل عندي لقانا اخويا در متابعة ليه حفظك"
"Wax yialh waslok had diask","واخ يالاه واسلوك هاد الديسك"
"Hta kano gor sar9o likom dak téléphone","حتا كانو جور سرقو ليكم داك التليفون"
"Tafaha khashome lhabse tfouuuu forma dyal lakhra","تفاه خاشوم للحبس تفوّووو فورما ديال الخرا"
"Mo3awa9a meskina","معاوضة مسكينة"
"Bdito sa3aya bravo l7acharat","بدّيتو سعاية برافو للحشرات"
"3alae ma3nda walo taba3 fiha kytkom t9ylo tnfkhoo","علاء ماعندوش والو تباوع فيها كيتكوم تڭيلو تنفخو"
"Fra3ti lina krna akhtii nti o had rajlaak","فراعتي لينا كرنا أختي نتي و هاد راجليك"
"ana ghir nhawik mn do9mk","أنا ڭير نهاويك من دوڭمك"
"Daba hada jwaj","دابا هادا جوج"
"Ach had rojola t 9lawi","آش هاد الروالة تقلاوي"
"Hada lmghreb??","هادا المغرب؟"
"El Mehdi Gastoune jrya li kay dir rudiguer fach katkoun la3b ela lhbot","المهدي كاستون جرى لي كيدير روديڭير فاك تكون لاعب إلا لهبوت"
"3andak l9alwa tmout","عندك القلوا تموت"
"Ras 1 tjbed3lih","راسي وحدة تجبدلي"
"Ya bent 9ahba had lonika rajlk NTI ka dhri hssen Meno tanian Ra chwahtona ra F l'Europe ma kainach hadchi ya wlad lkhab o ta ila daroh Ra machi selmin","يا بنت قهبة هاد لونيكا راجلك نتي كاضري حسن منو تانيان را شوهتنا را ف أوروبا ما كاينش هاضي يا ولاد الخاب و تا إلا دارو را ماشي سلميين"
"Howa beyedo khesoo li yjerii morah","هوا بيديو خصو لي يجري وراه"
"Mskina m9daha farha Iwa chno ngol likom ntmna rabi yhrmna mn had chi","مسكينة مقداها فرحة إوا شنو نقول ليكوم نتمنى ربي يحرمنّا من هاد شي"
"Hada rajil haxa Ikon rajil mafehxe nesma de rojolaa tfoo","هادا راجل هاكس يكون راجل مافهكس نسمة د روجولا تفو"
"Fin 5liti bzazlk","فين خليتي بزازلك"
"Nari ma3andhach bzazal Winston safi","ناري معنديش بزازال وينستون صافي"
"Ha l9hiba oha swimil","ها لهيبة وها سيميل"
"Hadchi ra ki diroh gha 9lal trabi ana","هادي را كيديرو ڭا ڭلال ترابي أنا"
"Kayjri fhal chi khba fiha les règles","كيجري فحال شي خبة فيها ليس ريڭل"
"LA SDAR LA KARR F7AL TAYRA BGARR","لا صدار لا كرر فحال طيرا بڭار"
"Awil 3la chwha","أول علا شوهة"
"Bghina ghir c50 malginaha 3ad super Car","بغينا ڭير خمسين مالڭيناه عاد سوبر كار"
"Dini m3ak","ديني معاك"
"Sma3t had disQ fi 2018 oriskit fi 2022","سمعت هاد الديسك في ألفين وثمانية عشر وريسكيط في ألفين واثنين وعشرين"
"Machi khayb dyotiiii","ماشي خايب ديوتي"
"Chkoun 7assen?","شكون أحسن؟"
"Chkon rayatzawaz bwas3a tfo 3lik alkhanza","شكون راي تزواج ببساطة تفو عليك الخانزة"
"Ba3alla wakha jalda kahla rah l9alb byad","باغى والا جلدا كحلا راه القلب بيض"
"Ahesan 3acheran lay khalikom ba3ediytkom","أحسن عاشرن لاي خليكوم بعديتكوم"
"Sari lh sahli 3lik","ساري له سهلي عليك"
"1 dh la3b gta hhh","واحد ديال لعب جي تي أ ههه"
"3xirk :wax 5tk dima haka hnina","أخيرك : واش ختك ديما هكاك حنينة"
"Nta :whd mistara m3rt fin htitha","نتا : واحد مستار معرف فين حطها"
"Ba3alla 7agrinak aeshiriii bayan Liya","باغي حكرناك أشييري باين ليا"
"Kayn brojola apar lhmoda fhadi fhadi nadi khoya ba3la","كاين بروجولا أبار اللحمودة فهادي فهادي نادي خويا باغى"
"La hadi bzaf","لا هادي بزاف"
"Ta ser thhwa ma tl3ti lya f facebook mn 2024 ylh thnina mn l7moda dylk","تا سير تهوا ما تلصتي ليا في فيسبوك من ألفين وأربعة وعشرين يله ثنينة من اللحمودة ديالك"
"Ou malk asahbi a3la had alhala","أو مالك أصحابي علا هاد الحالة"
"rebi yr7amhaaa","ربي يرحمها"
"Fine kayna Had bali","فين كاينا هاد بالي"
"Siri tkhdmo raskom l7lal 7diw Liya lkhwa lkhawi nas katmout bjo3 toma diro Lina lkdoub dyalkom Kayn LAH","سيري تخدمو راسكم للحلال حديو ليا الإخوة الإخوة ناس كاتموت بالجوع توما ديرو لينا لقدوب ديالكم كاين الله"
"Dake safae rire se3ay","داك صفاء ريرة سعاي"
"3afak tala3ni ntoma rojola u mahdi bzff golih i thala fi khalti 3ira u gito lkahwa li keyna hda darna u machi frassi thiyati ra ket 3agbuni","عافاك طالعني نتومة رجولة ومهدي بزاف قوليه يثلا في خالتي عيرا وجيتو للكافية لي كاينا هاد دارنا وماشي فراسي ثياتي را كتعجبني"
"Slm 3andk dyal dimx","سلم عندك ديال ديمكس"
"Salam koya kasni kromi dyal rizifwar toyota 2015","سلام كوية كسني كرومي ديال ريزيفوار تويوتا ألفين وخمسة عشر"
"wili 7chamtoh mskin omakhlito hch ikaml n3aso","ويلي حشمتوه مسكين أوماخليتوه حش إكمال نعسو"
"Hhhh faytli wa93tli lwalid dakhl 3lya zlajlya lbit o ana na3s hchamt nfi9 wakha kont fay9 dart rasi na3s","ههه فاتلي وقعتلي لواليد داخل عليا زلاجة لبيت وأنا نعس حشمت نفيق واخا كنت فايق درت راسي نعس"
"Hit nta kathdar ala ssah hadchi alach","حيت نتا كتهدر على الصاح هادشي علاش"
"Tadkhol sari3","تدخول سريع"
"allah isihl 3lik","الله يسهل عليك"
"wana mnity kantsnah igol wali labsa srwal thydo sa3a","وانا منيتي كنتسناه يقول والي لابسا سروال تيدو ساعة"
"Hadi ghir ana okhoya","هادي غير أنا وخويا"
"Gol ldak za9of dyal sahbk itkays 3la tomobil nhar tnin tkon 3ndi f l'agence","قول لداك الزعوف ديال صاحبك يتكايس على طوموبيل نهار اثنين تكون عندي ف ل'اجانس"
"Ba7rta","بحرتا"
"Hmd lah kychg3","الحمد لله كيشجع"
"Sbah dar dyemak raha F7al sakna fel3era9","صباح دار ديماك راهي فعال سكنة فعراڨ"
"wach hadi la la l khnona tea7achnak","واش هادي لا لا الخنونة تعاچناك"
"Ayman Tazarhine had le9ta bhala fayt chayfha w ma39alt fin saraha","أيمن تازرين هاد اللقطة بحالها فات شافها وماعقل فين سارها"
"Amin m9wad","أمين مقود"
"Ta ana nefs mochkil","تا أنا نفس المشاكل"
"chno l7al nafs mochkil","شنو الحل نفس المشاكل"
"Fin kayn had bhar pirmoda","فين كاين هاد البحر بيرمودا"
"Khoya Wax mazal kaybi3 hout","خويا واش مازال كايبيع الحوت"
"Rome na9sa bzaf","روما ناقصة بزاف"
"Mondeyal hewa li naqesna","مونديال هو اللي ناقصنا"
"Tri9 salama akhoya l3ziz","طريق السلامة خويا العزيز"
"Salam kan mina l2ahsan dak sardine thiydi lihe sansul hawli t9adihe fdar alah ishal 3lik akhti","سلام كان من الأحسن داك السردين تعطي ليه سانسول حوالي تقاديه في دار الله يسهل عليك أختي"
"Concept nadi ma kayench khoh hhhhhh","كونسيبت نادي ما كاينش خو هههه"
"Chno smiyet track li tel9ohe","شنو سمية الأغنية لي لقيتي؟"
"dir balk 3liha","دير بالك عليها"
"Db ghir Wahed so2al osmahliya wach t9bal bkhtek dir fhal hakak m3a chi had. ob9a i9isha o3iiiid somohat","دبا غير واحد سؤال وسمح ليا واش تقبل بختك دير بحال هكاك مع شي واحد. ابقا يعيش وعيد سومحات"
"Askm Oud Hamza nta","أسأل السيد حمزة نتا"
"Ahsan okla 3andi ana","أحسن أكلة عندي أنا"
"Diha fi rasak tkon haza lbida3a idar lik b9a trakab tay rakbo 3lik chi prof","ديها في راسك تكون هاذي البداعة إدار ليك بقا تركب تاى راكبو عليك شي بروف"
"Dok la9atag dyal six jhhhhh","دوك لاقطة ديال ستة جيهههه"
"Ilyàs Kidây Nta","إلياس كيداي نتا"
"Ba3ella bejbejha","باغى بيجبهة"
"Ma manouche?","ما مانوش؟"
"A khoy achkdir 3ndk kniya dyli","أ خويا آش خْديْر عْندك كنية ديالي"
"Chno bgha warina tramto was3a z3ma","شنو بغا ورّانا ترامتو واسعة زعما"
"Restaurant dial hout fih ghir roz o djaj o bouzroug b 200dh wach nta labas","Restaurant ديال حوت فيه غير رز و دجاج و بوزروغ بمية وعشرين درهم واش نتا لباس"
"Khouya rak rakeb 3la motor bmw rah kay7chem may3tikch tri9 machi rakeb 3la sanya","خويا راك راكب على موتور bmw راه كيحشم مايعطيكش طريق ماشي راكب على سانية"
"Wnta aslan tatsog sogan 3achwaii wmachi 9anoni","ونتا أصلًا تصوغ صوغان عاشواي وماشي قنوني"
"Ana 3rafak a5ti mhtaja","أنا عرفك أختي محتاجة"
"Sadi9i 3aliya rajlk nahwihe","صديقي عليها رجلك ناحية"
"Had page mohdha li mzl kadahkni hhhhhhh","هاد الصفحة مهدا لي مزال كادهكني هههههه"
"yb9a y9lb hta ytih 3la chwhd 15/15 san chb3ana 9sim dik sa3a ychof jtni ghlya xwya","يبقا يقلب حتا يطيح على شوهد خمسة عشر من خمسة عشر سنة شبعانة قسيم ديك ساعة يشوف جاتني غليا خويا"
"Li darb hajbo Z.. 3ajbo","لي درب حاجبو ز.. عجبه"
"Allah ihfdhom lik ou allah iba3d 3lihom Cher khl9 a khoya","الله يحفظهم ليك و الله يبعد عليهم شر خلقة أ خويا"
"A7la wa7la taha I","أحلى وأحلى تاهى إي"
"tahiyatii lik a ba Mouad El Bouânani l9lb lbyad","تحياتي ليك أ با موعد البواناني القلب لبيض"
"Hât lfa5r ojbd dylo ogliha chaychi","هات الفقر وجبد ديالو أوغليها شيشي"
"Tbark lah machaa Allah charf liya nchof wld nas b7alk kikhalw whd basma zwina nas okhrin alhmdoulilah","تبارك الله ماشاء الله شرف ليا نشوف ولد الناس بحالك كخلوا وحدة بسمة زوينة ناس آخرين الحمد لله"
"bsaliti bazaf machi chwiya","بسلتي بزاف ماشي شوية"
"Ga3 li 3ndo snap maxi Rajl Aslan","كل لي عندو سناب ماكسي راجل أصلان"
"Ma3merni tfrejt the sopranos rir nz3em 3lih ?","ماعمرني تفرجت في مسلسل the sopranos غير نزعم عليه؟"
"Chwiiya 3la lwahed","شوية على واحد"
"Awadi ana Howa la3jal hhhh","أوادي أنا هوا لا عجل ههه"
"Nti li 7chouma 3lik m3edya 3la dak lwliyed, Bach m'n 79 katsouweri 9asser bidoun idn m'n 7e9ou i3ich toufoula 3adiya ou fach ikber mayl9ach video dialou f internet . Houa rah da7iya dialk","نتي لي حشومة عليك معدية على داك الوليد، باش من تسعة و سبعين كاتصوري قصور بدون إذن من حقوق الإنسان باش يعيش طفولة عادية و ملي يكبر مايلقاش فيديو ديالو في الإنترنت. هوا راه دعوة ديالك"
"Lah irza9naa bxi tmax wta7iyati lik","الله يرزقنا بxi تماخ و تحياتي ليك"
"Ga3 li kadir vidéo kayl9a telefon hhhh","كل لي كيدير فيديو كيلاقي تلفون ههه"
"tiya9tk chof lokhrine wach tay9ok","تياقتك شوف لخريين واش تايكوك"
"Kifash o kolchi sad lhadjih","كيفاش وكلشي صاد لهدجيج"
"3chirek sicliss khela fiha lfilter darrori y tvérifa","عشيرك سيكليس خلى فيها الفلتر ضروري ي تفرّيفا"
"Daba chni 9altilo","دابا شني قالتي لو"
"Kolchi man tarbia wache fanadarek daba maa khasak hadi tarbia wache tarbia dial téléphone tarbia kadahki ala khasak siri guabli waldak obaadih man hade chi likadirih rah radi tjharji alihhhhhh","كلشي من تربية واش فنادرك دابا ما خاصك هادي تربية واش تربية ديال تليفون تربية كادهكي علاك خاصك سيري غابلي ولدك اباديو من هادشي ليكيدير راه غادي تجارجي عليههههه"
"Golo 3nd mok lkbda bach dir had l3ibat bnadm mo3wa9 ana b3da makantrink ma walo nchd mok lwi lik 3n9k","قولو عند موك لكبدة باش دير هاد اللعبة بنادم موعوق أنا بعدا ما كترنك ما والو نشد موك لوي ليك عنق"
"Wa9ila kay3ti trmto","واقيلا كيعطي ترمتو"
"Hadi micro-hybrid al 7mar alors tonobil 98% essence sewel 3ad dir video al kidar o fiha ghir motor essence wahed o batterie 40 kw","هادي micro-hybrid الحمرة، إذن السيارة بنسبة تسعة وتسعين بالمئة بنزين، سائل، ثم صور فيديو الكيدار وفيها غير محرك بنزين واحد وبطارية أربعين كيلوواط."
"Had houa MHEV dial peugeot, ka tmchi fabor gha bach tstationne","هاد هوا MHEV ديال بيجو، كاتمشي بسرعة غير باش تستانسي."
"Akhuya ila kant micro hybride rah hiya hadik l’électrique kikhdem fach kthsl fchi embouteillage w stationnement hit consommation ktkon tal3a bzaf ila b9yti dir 1er w tzid 2 khtwat","أخويا إلا كانت micro hybride راهي هاديك الكهربائية كتشغل ملي كتخلص في شي ازدحام ووقوف السيارات، حيت الاستهلاك كيكون عالي بزاف إلا بغيتي دير المرحلة الأولى وتزيد خطوتين."
"Makin la hybrid la Walo kin gha v8 twin turbo essence we tnagham lia m3a rasek ama tonobil fiha moteur dyal Moulinex gha lah yrebah biha bsahtkom we rahtkom.","ماكين لا هيدريد لا والو، كاين غير محرك ڤيت ثمانية توين توربو بنزين، وتناغم ليا مع راسك، أما السيارة فيها موطور ديال مولينكس، الله يربح بيها بصحتكم وراحتكم."
"Ki goul hadra li kan Qader yktbha msali karo","كي تقول هضرة لي كان قادر يكتبها مسالي كرو."
"Khoya whd lmara kont sayg ona ntfk vidyo daylk bryt ntb9o dart ksida","خويا واحد المرة كنت صاغي أنا نتفك فيديو ديالك بريت نتوقعو دارت كسيدة"
"Ta wach hada motore","تا واش هادا موطور"
"Yaaa rbi tssme7 lia ch7al mn mra drtha ta ana","يا ربي تسامح ليا شحال من مرة درتها تا أنا"
"Haka rah nta kaderlo ichhar ila konhar katloho temk drari limafhmîch ra ydkhlo ando","هاكا راه نتا قادرلو يشهر إلا كونهار كاتلوهو تمك دراري لي ما فهموش را يدخلو عندو"
"ana a sahbi","أنا أ صاحبي"
"RS7 L7a9i9a lmorra","رأس الحقيقة المرة"
"chof ki kaytrigl 3la dri","شوف كيف كا يترگل على دري"
"had no3 din mo kaychof lbnat kaydsr","هاد نوع دين ما كيشوف بنات كيدسر"
"Wa rba3t l3ahirat o sadate lah in3alkom","و ربعت لاهيرات و سادات الله ينعلكم"
"Kayhsab lihom tam3in rir flflos la Ila kan rir m39ol okaybrini nmot m3ah ana","كا يحسب ليهم تمنين غير فلوس، لا إله كان غير معقول، كبرني نموت معاه أنا"
"Bsah kina wlh mktbti ana w93 liya ms hmdlah bzrb tjnbt wka drb fih fjnb me hmdlah","بصاح كينا والله مكتبتي أنا و قع ليا مس الحمد لله بسرعة تجنبت وكادرب فيه في جنب مه الحمد لله"
"Nta b3da rak h99tih kyti ana li dima na3sa kanhlm","نتا بعدا راك هقيتيه كيتي أنا لي ديما نعسة كانحلم"
"Kathama9","كاتهماق"
"Rbi yhfadhom mn kol char lah ykon m3ahom","ربي يحفظهم من كل شر الله يكون معاهم"
"Kolchi 3la yalah khditha hhh","كلشي على يلاه خديتها هههه عندي ستة دراهم"
"hada 3adi ykon weldo li hasbinah mat","هادا عادي يكون ولدو لي حسبناه مات"
"Ma hdrtich 3la l Giallo wakha fiha aflam Wa3rine surtout dyal Dario Argento","ما هدرتش على ل جالو واخا فيها أفلام واعرين خصوصا ديال داريو أرجينتو"
"Wach dak rajl makhdawch lih 7a9o man had nas","واش داك الراجل ما خذاوش ليه حقه من هاد الناس"
"Le7yt sa3ida berojla lahe ysree","واش داك الرجل ما خداوش ليه حاجة من هاد الناس"
"Tahyati t5rbicha darori","تحياتي تخرّبش ضروري"
"Mh MehDi lhdra litaygoliya 39li w9 had lyamat","مه مهدي الهضرة اللي تيقولي تسعة وعشرين و تسعة هاد الأيام"
"3lach ghaber 7akimi nti asir t9awdi fin ma nhzo tilifon tl3olina","علاش غابر حكيمي نتي أسير تقودي فين ما نحزو تليفون تلعولنا"
"Hhh 12 lsa3a","هاها اثنتي عشرة ساعة"
"mhamd say9","الحمد لله الساعة اثنتي عشر"
"tfoo chni dk lbaas htaraam'gha dak malaeika bntk mskinaa","تفو شني دك لباس حرآم'غا دك ملايكة بنتك مسكينة"
"3lach ghaber 7akimi nti asir t9awdi fin ma nhzo tilifon tl3olina","علاش غابر حكيمي نتي أسير تقودي فين ما نحزو تليفون تلعولنا"
"Bravo khay Choaaib Gamssi Men a7san nas chuftom fhad social media. Ta7yati al khawa","برافو خاي شوايب گامسي من أحسن ناس شفتوم فهد سوشل ميديا. تحياتي الخوا"
"Wald nass kima katfar7 nass gadi ifrahak lah hadchi zwine kamal khoya chouaib","ولد الناس كيما كاتفرح ناس غادي يفرحك الله هادشي زوين كامل خويا شوايب"
"Oulaaaah ta bhali fima n9ra shi haja kanhbss","أولاً تا بهالي فيما نقرا شي حاجة كانحبس"
"Imad badel l’far9a","إيماد بدل الفرقة"
"Chi maw9i3 ntilichqrgiw mno aflam","شي موقع نتليضرغي منو أفلام"
"Lah yjib li ykhaf elina hta hna","الله يجيب لي يخاف علينا حتا هنا"
"wta 3adna f fes hay 45 hta how khattar","و تا عندنا ف فاس حي خمسة وأربعين حتا هو خطر"
"Imad badel l’far9a","إيماد بدل الفرقة، وتا عدنا في فاس هاي خمسة وأربعين حتا هو خطر"
"Bnat khashom ya3tiw tissa3 lhad domin dyal mwatar hit makay3afoch f mécanique dyal motor","بنات خاشوم يعطيو التسعة لهاد دومين ديال موطار حيت ماكيعافوش في ميكانيك ديال موطور"
"Madawich 3la dz dawi 3la 9ard","مداويش على دز داوي على قرد"
"Chtayha m9awda","شتايحة مقودة"
"iwa rh knt3jb wx rtkhrj bin dok rmokat kifx rdir liha allah a3lem","إوا رح كنتعجب واخ رتكهرج بين دوك الرمكات كيفاش ردي ليها الله أعلم"
"Rakom 7amdin","إوا راكم حامدين و رتكخرج بين دوك الرمكات كيفخ ردي ليها الله أعلم"
"R ah hadchi li dar machi rojla kibayn fmarto godam Kolchi ou mkhalta m3a rojala wax hadi Hiya rojla ou laghani hram","راكم حامدين. را هادشي لي دار ماشي روجلا كيباين فمرتو قدام كلشي و مخالط مع رجالة واش هادي هيا روجلا و لغاني حرام"
"YoUu Nnsee 7lawto tal wahd 10 yam","يو يو ننسي حلاوتو تل واحد عشرة يوم"
"Rakom 7amdin","يو يو ننسي حلاوتو تل واحد عشرة يوم"
"Ykhwilak drase nari 3la madloula w las9a howa kay3taraf bli mabaghi walo w hya ladir harakat morahi9ine w las9a wa nari","يخويلك دراسة ناري علا مدلولة و لقصة هو كيعترف بلي ما بغى والو و هيا لدار حركات مريضة و لقصة و ناري"
"Benni Mellal li hakma Milano A Banti","بني ملال لي حكمت ميلانو أ بنتي، يخويلك دراسة ناري على مدلولة و لأسقة هوا كايعترف بلي ما بغى والو و هيا لادير حركات مروقيين و لأسقة و ناري"
"Zlaal howa li dayr 3lih lfelm","زلال هوا لي داير عليه الفلم"
"Lah isahal 3liik lkhawa dyali","الله يسهل عليك لخوا ديالي"
"Yash Ess ablati 3lik","يش إيس أبلاتي عليك"
"Ch7al dyal l3ya9a f ras l7mar wold adil lmloudi","شحال ديال العياقة في راس الحمار ولد أديل الملودي"
"Azabi machi Red Boll rah RedBull","شحال ديال لعيقة في راس لحمر ولد أديل الملودي"
"hh labidyo zzwine walkine t9dre djkr bmwdme bla dake t5sswre lhdra","أزابي ماشي ريد بول راه ريدبول"
"Wa wlad 9hab rah cha3b azbi fay9 o 3ay9 baraka men tzomil o lkdoub o ljahl o tamtil dial l9lawi diro video bsh o tajriba tkon bsh machi katmchiw chi khela o kikon dayz menha ghir hadak li atsawloh sbhana lah hhhhhh 9wawid wlh","وا ولد قحاب راه شعب أزبي فايق وعايق باركا من تزوميل والكذب والجهل والتمثيل ديال القلاوي ديرو فيديو باش وتجربة تكون باش ماشي كاتمشيو شي خلة ويكون دايز منها غير هاداك لي اتساوله سبحان الله ههههه قواويد والله"
"Hadik Ila konti radi fi tri9 m7afra kharig mdina cha3alha","هاديك إلا كنتي رادي في طريق محفرة خارج مدينة شحالها"
"Wa dacia machi dasya","وا داسيا ماشي داسيا"
"Lah yrz9k sa3ada khti","الله يرزقك سعادة أختي"
"Wa naariii 3la kdab","الله يناري على الكداب"
"Ghir lyouma kant ghadirha lia w7da ya Sahbi","غير اليوم كانت غاديرا ليا وحدة يا صاحبي"
"Chala fach 3adi natfarjo omak katfarj fik db o3jabha elhal wasir man 9akat trabi","شلا فاچ عادي نتفرج و ماك كاتفرج فيك دبا و عجبتها الحال و سير من القاع تربي"
"3 songs wa7d ynisk flakhor","ثلاثة أغاني وحدة تنسيك فراحك"
"Kamel broo m9awed","ثلاثة أغاني واحد ينسك فالخور"
"Kima l3ada","كامل برو مأود"
"Cho khtna ki kt3wj fi trmtha hhhh","شو ختنا كي كتعوج في ترمتها ههه"
"Knt knsena kolchi ila had l3eyba li derti","كنت كنسنا كلشي إلا هاد العيوبة لي درتي"
"Rotary houa li s3ib z3ma ?","روطار هو اللي صعيب زعمة؟"
"Ktban kilimini mn wjhQ g3ma m3wnaQ ela tcharmil a sat","كتابن كليمني من وجهو گعما معونو إلا تشرمل أ سات"
"9daam had lvidyohat","قدام هاد لفيديوهات"
"had disk f yamato kifach kan kaytle3","هاد ديسك في ياماتو كيفاش كان كايطلع"
"Tstmeeeee fach chfto howa kay3rfni wana makan3rfch kbhal Ila saybtiha Blige DRI morba3 lhaya ktaf morba3In howa morba3 kbhal ila kharja mn rblx","تستمي فاچ شفتو هوا كايعرفني وانا ماكانعرفش كبحال إلا صايبتيها بليج دري مرابع لحيا كتاف مرابعين هوا مرابع كبحال إلا خرج من ربلكس"
"Ydal nhar kaml howa ytnmar 3la nas fi lkhar khdaha wjha m9am9am","يدل النهار كامل هوا يتنمر على ناس في الخارج خدها وجهو مقمق"
"Bghit gha n3rf had 143 fin kidi wach tacharok l'walfa yak ?","بغيْتْ غَا نْعْرَفْ هَادْ مِائَة وَ تْلَاتَة وَ أَرْبَعِينَ فِينْ كِيدِي وَاشْ تَشَارَكْ لِ الْفَا يَاكْ؟"
