input_text,target_text
ghi sir t9awd chibani l7atek,ڭي سير تقود شيباني لحاتك
Tafaha hadchi adrari khsk t3ti lbnadm istafd ula stop,تفاه هاضي أدراري خصك تعطي لبنادم استفد اولا ستوب
Farou9 dawz 3andk chi tark,فاروق دوز عندك شي ترك
Rah m3a shayabha n3al lik walidin,راه مع شيابها نعال ليك والدين
Wa sir t9awd,وا سير تقود
Wa lah i3tik lkhdma fzekk,وا الله يعطيك الخدمة فزك
Ach darti gaaaa3 sda3 ras fl mawa9i3 haw haw haw yalatif kolchi msad3o,آش درتي ڭاع سدّع راس فل مواقي3 هاو هاو هاو يا لطيف كلشي مسدعو
Khdam ra nta w3mal flos rir nta alflos ali tji blhal9at nmxo n3amloham fjma3 alfna fdik mrakax,خدام را نتا وعمال فلوس رير نتا الفلوس اللي تجي بالهقّات نمشو نعاملوهام فجماعة ألفنا فديك مراكش
Sir tmot 10k dsargala 9lss syd o hyd mn lmizan o lbiro dyalo wa sir tmot,سير تموت 10ك دسرڭالا 9لس سيد و هيد من لميزان و لبيرو ديالو وا سير تموت
sir lah in3al tabon mok,سير الله ينعل طابون موك
Sir ghi t9wad lah yn3al tbon mok,سير ڭي تقود الله ينعل طابون موك
Ktbi3 lhot fhl nas oktgol knt3awn m3a lmaskin,كتبيع لحوت فهل ناس وكتڭول كنتعاون مع لمسكين
S7ab kerro fel 9obba dyl berlamane,سحاب كرو فلقبة ديال برلمان
Bsaliti bditi tratab dkhol so9 karak khir,بساليتي بديتي تراتاب دخول سوق كراك خير
Kichti nta tafartih,كشيتي نتا تفارتيه
Hadak li wa9f f janb tl9a 3ando master,هاداك لي واقف ف جنب تلقى عندو ماستر
Wach fik tab3a ola kifach dima chkawi,واش فيك طباع ولا كيفاش ديما شكاوي
Nta 3andk tarma kbira hhhh,نتا عندك ترما كبيرة ههه
Nadi akhoya oktr lina mn vidyohat dyal trinag lmostawa motawasit chwiya bla Montag rah vvidyohat nadyin brojol,ناضي اخويا اوكتر لينا من فيديوهات ديال ترينڭ لمستوى متوسط شيوية بلا مونتاج راه فيديوهات ناضين بروجول
Les accessoires dyal la motos très très importantes Ana andi cool @la,ليس اسيسوار ديال لاموتوس تري تري مهمة أنا عندي كول @لا
Hheihhrih3uggeiehi3hdhv3fj4ibcdjfhivfu dhchf,ههيهريه3وڭيهيه3هدحف3فج4يبسدجفحيفوفو دشف
Maybe Mouad z3em,ممكن موعد زعيم
Allahu akbar. Ma shaa Allah. May Allah accept it from him,الله أكبر. ما شاء الله. ماي الله يقبلها منو
"Ma qualle' il problema ,anch'io bacio mia figlia così, è il mio sangue è quindi, state sempre ha sentenziare, ma fatevi una vita .....","Ma qualle' il problema ,anch'io bacio mia figlia così, è il mio sangue è quindi, state sempre ha sentenziare, ma fatevi una vita ....."
Ax had lkhra mal fmk bhala tatfrani bih,آش هاد لخرا مال فمك بحالا تتفراني بيه
Awdi ana chari kask nadi dah lina chi wa7d fo9 motor wlha ta 7a9dni 1200dh mechat hiya li kanksb daba 3adi ta3 120dh,او دي أنا شاري كاسك ناضي داه لينا شي واحد فوق موتور والله تا حڭدني 1200dh مشات هيّا لي كانكسب دابا عادي تع 120dh
ana dima wlah la n3as fkhatro,أنا ديما والله لا نعاس فخاطرو
Sir tahwa 9ad afomak,سير تهوا قد افومك
Ma9siyin man ch7al hadi,معقسيين من شحال هادي
Kitelecharger gha mn Utorrent makinf3 b walo,كيتيلشارجي ڭا من يوتورنت ماكنف3 ب والو
Ma ki suporter 7ta chi série ga3,ما كيسوبير حتا شي سيري ڭاع
Oki3ti ra2yo hhhhhh game of thrones khassro 2 seasons lkhrin,اوكيعتي رايوه هههههه ڭيم اوف ترونس خسرو 2 سيزون لخريين
Hhh chkon 3rf bli glso mora lvidyo,ههه شكون عرف بلي ڭلسو مورى لفيديو
Lah ihfdkom mn l3in achbab,الله يحفدكوم من لعين اشباب
7mida setar ach kay3ti lhad nou3 selya,حميدة سطار آش كيعطي لهاد نوع سليا
Khasha li yhakha mzn Bach tabrad,خاشة لي يحكا مزن باش تبرّد
Khoyti 3ezaz,خويا عزاز
Dando pro max radjla ta3 doka,داندو برو ماكس راجلة تع دوكا
Kon drto porno hsnlikom men had chouha,كون درتو بورنو حسنليكوم من هاد شوهة
3gouba likom 3okacha,عڭوبة ليكوم عوكاشة
Dkhl 3ndi l9ana akhoya dir motaba3a layhfdk,دخّل عندي لقانا اخويا در متابعة ليهفدك
Wax yialh waslok had diask,واخ يالاه واسلوك هاد دياسك
Hta kano gor sar9o likom dak téléphone,حتا كانو ڭور سرڭو ليكوم داك تليفون
Tafaha khashome lhabse tfouuuu forma dyal lakhra,تفاه خاشوم لحبسة تفوّووو فورما ديال لخرا
Mo3awa9a meskina,معاوضة مسكينة
Bdito sa3aya bravo l7acharat,بدّيتو سعاية برافو لحشرات
3alae ma3nda walo taba3 fiha kytkom t9ylo tnfkhoo,علا ماعندوش والو تباوع فيها كيتكوم تڭيلو تنفخو
Fra3ti lina krna akhtii nti o had rajlaak,فراعتي لينا كرنا أختي نتي و هاد راجلاك
ana ghir nhawik mn do9mk,أنا ڭير نهاويك من دوڭمك
Daba hada jwaj,دابا هادا جوّاج
Ach had rojola t 9lawi,آش هاد روجولا تڭلاوي
Hada lmghreb??,هادا لمغرب؟؟
El Mehdi Gastoune jrya li kay dir rudiguer fach katkoun la3b ela lhbot,المهدي كاستون جرى لي كيدير روديڭير فاك تكون لاعب إلا لهبوت
3andak l9alwa tmout,عندك القلوا تموت
Ras 1 tjbed3lih,راس 1 تجبدلي
Ya bent 9ahba had lonika rajlk NTI ka dhri hssen Meno tanian Ra chwahtona ra F l'Europe ma kainach hadchi ya wlad lkhab o ta ila daroh Ra machi selmin,يا بنت قهبة هاد لونيكا راجلك نتي كاضري حسن منو تانيان را شوهتنا را ف أوروبا ما كاينش هاضي يا ولاد الخاب و تا إلا دارو را ماشي سلميين
Howa beyedo khesoo li yjerii morah,هوا بيديو خسّو لي يجري موراه
Mskina m9daha farha Iwa chno ngol likom ntmna rabi yhrmna mn had chi,مسكينة مقداها فرحة إوا شنو نڭول ليكوم نتمنى ربي يحرمنّا من هاد شي
Hada rajil haxa Ikon rajil mafehxe nesma de rojolaa tfoo,هادا راجل هاكس يكون راجل مافهكس نسمة د روجولاا تفو
Fin 5liti bzazlk,فين خليتي بزازلك
Nari ma3andhach bzazal Winston safi,ناري معنداش بزازال وينستون صافي
Ha l9hiba oha swimil,ها لهيبة وها سيميل
Hadchi ra ki diroh gha 9lal trabi ana,هاضي را كيديرو ڭا ڭلال ترابي أنا
Kayjri fhal chi khba fiha les règles,كيجري فحال شي خبة فيها ليس ريڭل
LA SDAR LA KARR F7AL TAYRA BGARR,لا صدار لا كرر فحال طيرا بڭار
Awil 3la chwha,اويل علا شوهة
Bghina ghir c50 malginaha 3ad super Car,بغينا ڭير ص50 مالڭيناه عاد سوبر كار
https://youtube.com/shorts/kyS2yd5X880?si=Zd428bhya8U30Xvo,‎https://youtube.com/shorts/kyS2yd5X880?si=Zd428bhya8U30Xvo
Dini m3ak,‎ديني معاك
Sma3t had disQ fi 2018 oriskit fi 2022,‎سمعت هاد الديسك في 2018 وريسكيط في 2022
Machi khayb dyotiiii,‎ماشي خايب ديوتييي
Chkoun 7assen?,‎شكون أحسن؟
Chkon rayatzawaz bwas3a tfo 3lik alkhanza,‎شكون راي تزواج ببساطة تفو عليك الخانزة
https://youtu.be/H3RN9Fz6pPo,‎https://youtu.be/H3RN9Fz6pPo
Ba3alla wakha jalda kahla rah l9alb byad,‎باغى والا جلدا كحلا راه القلب بيض
Ahesan 3acheran lay khalikom ba3ediytkom,‎أحسن عاشرن لاي خليكوم بعديتكوم
Sari lh sahli 3lik,‎ساري له سهلي عليك
1 dh la3b gta hhh,‎واحد ديال لعب جي تي أ ههه
"The Yazeed's army had the head of Husain R A, but couldn't get get his allegiance.","‎The Yazeed's army had the head of Husain R A, but couldn't get get his allegiance."
3xirk :wax 5tk dima haka hnina,‎أخيرك : واش ختك ديما هكاك حنينة
Nta :whd mistara m3rt fin htitha,‎نتا : واحد مستار معرف فين حطها
Ba3alla 7agrinak aeshiriii bayan Liya,‎باغى حكرناك أشييري باين ليا
Kayn brojola apar lhmoda fhadi fhadi nadi khoya ba3la,‎كاين بروجولا أبار اللحمودة فهادي فهادي نادي خويا باغى
La hadi bzaf,‎لا هادي بزاف
Ta ser thhwa ma tl3ti lya f facebook mn 2024 ylh thnina mn l7moda dylk,‎تا سير تهوا ما تلصتي ليا في فيسبوك من 2024 يله ثنينة من اللحمودة ديالك
Ou malk asahbi a3la had alhala,‎أو مالك أصحابي علا هاد الحالة
Il faut ke tu fasse le deuil .te detacher .ta besoin d therapie c est tres dificile de se remettre.lah er7am hom,‎إيل فو كِ تفَاسّي الدّويل .تِ دِتَاشِ .تا بْغِيّنْ دْ تِيرَابي سْ إِتْ تْرِيسْ دِيفِيكِيلْ دِ سْ رِمِيتْ .لاه إرحمْ هوم
rebi yr7amhaaa,‎ربي يرحمهااا
Fine kayna Had bali,‎فين كاينا هاد بالي
Siri tkhdmo raskom l7lal 7diw Liya lkhwa lkhawi nas katmout bjo3 toma diro Lina lkdoub dyalkom Kayn LAH,‎سيري تخدمو راسكوم للحلال حديو ليا الإخوة الإخوة ناس كاتموت بجوع توما ديرو لينا لقدوب ديالكوم كاين الله
Dake safae rire se3ay,‎داك صفاء ريرة سعاي
3afak tala3ni ntoma rojola u mahdi bzff golih i thala fi khalti 3ira u gito lkahwa li keyna hda darna u machi frassi thiyati ra ket 3agbuni,‎عافاك طالعني نتومة رجولة ومهدي بزف قوليه يثلا في خالتي عيرا وجيتو للكافية لي كاينا هدا دارنا وماشي فراسي ثياتي را كتعجبني
Slm 3andk dyal dimx,‎سلم عندك ديال ديمكس
Salam koya kasni kromi dyal rizifwar toyota 2015,‎سلام كوية كسني كرومي ديال ريزيفوار تويوتا 2015
wili 7chamtoh mskin omakhlito hch ikaml n3aso,‎ويلي حشمتوه مسكين أوماخليتوه حش إكمال نعسو
Hhhh faytli wa93tli lwalid dakhl 3lya zlajlya lbit o ana na3s hchamt nfi9 wakha kont fay9 dart rasi na3s,‎ههه فاتلي وقعتلي لواليد داخل عليا زلاجة لبيت وأنا نعس حشمت نفيق واخا كنت فايق درت راسي نعس
Hit nta kathdar ala ssah hadchi alach,‎حيت نتا كتهدر على الصاح هادشي علاش
"recette machi exacte tari9a dyal lkhadma machi pro mais tbarkalah 3lik zid khdam w9alab wrak radi twafa9 nchalah , gratoire hsan men lmos khoya .. bon chance",‎recette ماشي exacte طريقة ديال الخدمة ماشي pro mais تبارك الله عليك زيد خدم وقلب وراك غادي توفق إن شاء الله ، gratoire حسن من لموس خويا .. bon chance
Tadkhol sari3,‎تدخول سريع
allah isihl 3lik,‎الله يسهل عليك
wana mnity kantsnah igol wali labsa srwal thydo sa3a,‎وانا منيتي كانتسناه يقول والي لابسا سروال تيدو ساعة
Hadi ghir ana okhoya,‎هادي غير أنا وخويا
Gol ldak za9of dyal sahbk itkays 3la tomobil nhar tnin tkon 3ndi f l'agence,‎قول لداك الزعوف ديال صاحبك يتكايس على طوموبيل نهار اثنين تكون عندي ف ل'اجانس
Ba7rta,‎بحرتا
Hmd lah kychg3,‎الحمد لله كيشجع
Sbah dar dyemak raha F7al sakna fel3era9,‎صباح دار ديماك راهي فعال سكنة فعراڨ
wach hadi la la l khnona tea7achnak,‎واش هادي لا لا الخنونة تعاچناك
Ayman Tazarhine had le9ta bhala fayt chayfha w ma39alt fin saraha,‎أيمن تازرين هاد اللقطة بحالها فات شافها وماعقل فين سارها
Amin m9wad,‎أمين مقود
Ta ana nefs mochkil,‎تا أنا نفس مشكيل
chno l7al nafs mochkil,‎شنو الحل نفس مشكيل
Fin kayn had bhar pirmoda,‎فين كاين هاد بحر بيرمودا
Khoya Wax mazal kaybi3 hout,‎خويا واش مازال كايبيع حوت
The last kingdom Howa lm9awad,‎The last kingdom هوا لمقاوض
Rome na9sa bzaf,‎Rome ناقصة بزاف
Mondeyal hewa li naqesna,‎مونديال هوا لي ناقصنا
Tri9 salama akhoya l3ziz,‎طريق سالامة أخويا العزيز
Salam kan mina l2ahsan dak sardine thiydi lihe sansul hawli t9adihe fdar alah ishal 3lik akhti,‎سلام كان من الأحسن داك السردين تيديه ليه سانسول حوالي تقاديه فدار الله يسهل عليك أختي
Concept nadi ma kayench khoh hhhhhh,‎Concept نادي ما كاينش خو هههه
Chno smiyet track li tel9ohe,‎شنو سمية track لي تلقوه
dir balk 3liha,‎دير بالك عليها
Db ghir Wahed so2al osmahliya wach t9bal bkhtek dir fhal hakak m3a chi had. ob9a i9isha o3iiiid somohat,‎دبا غير واحد سؤال واسمحليا واش تقبل بختك دير فحال هكاك مع شي هاد. ابقا يعيش و عيييد سومحات
Askm Oud Hamza nta,‎أسكم أود حمزة نتا
Ahsan okla 3andi ana,‎أحسن أكلة عندي أنا
Diha fi rasak tkon haza lbida3a idar lik b9a trakab tay rakbo 3lik chi prof,‎ديها في راسك تكون هاذا لبداعة إدار ليك بقا تركب تاى راكبو عليك شي بروف
Dok la9atag dyal six jhhhhh,‎دوك لاقطة ديال سكس جيهههه
Ilyàs Kidây Nta,‎إلياس كيداي نتا
Ba3ella bejbejha,‎باغى بيجبهة
Ma manouche?,‎ما مانوش؟
A khoy achkdir 3ndk kniya dyli,‎أ خوي آشكدير عندك كنية ديلي
Chno bgha warina tramto was3a z3ma,‎شنو بغا ورنا ترامتو واسعة زعما
Restaurant dial hout fih ghir roz o djaj o bouzroug b 200dh wach nta labas,‎Restaurant ديال حوت فيه غير رز و دجاج و بوزروغ ب 200dh واش نتا لباس
J'ai payé 149dh dans un hôtel 4 étoiles. Leur buffet fait 5 fois le votre.,‎J'ai payé 149dh dans un hôtel 4 étoiles. Leur buffet fait 5 fois le votre.
Khouya rak rakeb 3la motor bmw rah kay7chem may3tikch tri9 machi rakeb 3la sanya,‎خويا راك راكب على موتور bmw راه كيحشم مايعطيكش طريق ماشي راكب على سانية
Wnta aslan tatsog sogan 3achwaii wmachi 9anoni,‎ونتا أسلان تاصوغ صوغان عاشواي وماشي قنوني
Over dose wla,‎Over dose ولا
Ana 3rafak a5ti mhtaja,‎أنا عرفاك أختي محتاجة
Sadi9i 3aliya rajlk nahwihe,‎صديقي عليها رجلك ناحيه
Had page mohdha li mzl kadahkni hhhhhhh,‎هاد page موهدى لي مزل كادهكني هههههه
yb9a y9lb hta ytih 3la chwhd 15/15 san chb3ana 9sim dik sa3a ychof jtni ghlya xwya,‎يبقا يقلب حتا يطيح على شوهد 15/15 سن شبعانة قسيم ديك ساعة يشوف جتني غليا خويا
Li darb hajbo Z.. 3ajbo,‎لي درب حاجبو ز.. عجبه
Allah ihfdhom lik ou allah iba3d 3lihom Cher khl9 a khoya,‎الله يحفظهم ليك و الله يبعد عليهم شر خلقة أ خويا
A7la wa7la taha I,‎أحلى وأحلى تاهى إي
tahiyatii lik a ba Mouad El Bouânani l9lb lbyad,‎تحياتي ليك أ با موعد البواناني القلب لبيض
Hât lfa5r ojbd dylo ogliha chaychi,‎هات لفقر وجبد ديالو أوغليها شيشي
Tbark lah machaa Allah charf liya nchof wld nas b7alk kikhalw whd basma zwina nas okhrin alhmdoulilah,‎تبارك الله ماشاء الله شرف ليا نشوف ولد ناس بحالك كخلوا وحدة بسمة زوينة ناس اخرين الحمد لله
bsaliti bazaf machi chwiya,‎بسلتي بزاف ماشي شوية
Ga3 li 3ndo snap maxi Rajl Aslan,‎كل لي عندو سناب ماكسي راجل أسلان
La grinta dyal Gen z,‎لا غرينطا ديال جين زي
Ma3merni tfrejt the sopranos rir nz3em 3lih ?,‎ماعمرني تفرجت the sopranos رير نزعم عليه؟
Chwiiya 3la lwahed,‎شوية على الواحد
Awadi ana Howa la3jal hhhh,‎أوادي أنا هوا لا عجل ههه
"Nti li 7chouma 3lik m3edya 3la dak lwliyed, Bach m'n 79 katsouweri 9asser bidoun idn m'n 7e9ou i3ich toufoula 3adiya ou fach ikber mayl9ach video dialou f internet . Houa rah da7iya dialk",‎نتي لي حشومة عليك معديى على داك الوليد، باش من 79 كاتصوري 9اصر بدون إذن من 7قوق إعيش طفولة عادية و فاخ يكبر مايلقاش فيديو ديالو ف إنترنت . هوا راه داعية ديالك
Lah irza9naa bxi tmax wta7iyati lik,‎لاه يرزقنا بxi تماخ و تحياتي ليك
Ga3 li kadir vidéo kayl9a telefon hhhh,‎كل لي كيدير فيديو كيلقى تلفون ههه
tiya9tk chof lokhrine wach tay9ok,‎تياقتك شوف لخريين واش تايكوك
Kifash o kolchi sad lhadjih,‎كيفاش وكلشي صاد لهدجيج
3chirek sicliss khela fiha lfilter darrori y tvérifa,‎عشيرك سيكليس خلى فيها الفلتر ضروري ي تفرّيفا
Daba chni 9altilo,‎دابا شني قالتي لو
https://whatsapp.com/channel/0029VbBWK2dKWEKiA7YMhy3w,‎https://whatsapp.com/channel/0029VbBWK2dKWEKiA7YMhy3w
https://www.facebook.com/share/p/17j1DbKF4J/,‎https://www.facebook.com/share/p/17j1DbKF4J/
Kolchi man tarbia wache fanadarek daba maa khasak hadi tarbia wache tarbia dial téléphone tarbia kadahki ala khasak siri guabli waldak obaadih man hade chi likadirih rah radi tjharji alihhhhhh,‎كلشي من تربية واش فنادرك دابا ماخاسك هادي تربية واش تربية ديال تليفون تربية كادهكي علا خاسك سيري غابلي ولدك اباديو من هادشي ليكيدير راه غادي تجارجي عليههههه
Golo 3nd mok lkbda bach dir had l3ibat bnadm mo3wa9 ana b3da makantrink ma walo nchd mok lwi lik 3n9k,‎قولو عند موك لكبدة باش دير هاد اللعبة بنادم موعوق أنا بعدا ماكنترنك ما والو نشد موك لوي ليك عنق
Wa9ila kay3ti trmto,‎واقيلا كيعطي ترمتو
Hadi micro-hybrid al 7mar alors tonobil 98% essence sewel 3ad dir video al kidar o fiha ghir motor essence wahed o batterie 40 kw,‎هادي micro-hybrid الحمر alors tonobil 98% essence sewel عاد دير فيديو الكيدار و فيها غير motor essence واحد و batterie 40 kw
"Had houa MHEV dial peugeot, ka tmchi fabor gha bach tstationne",‎هاد هوا MHEV ديال بيجو، كاتمشي فابور غا باش تستانني
Akhuya ila kant micro hybride rah hiya hadik l’électrique kikhdem fach kthsl fchi embouteillage w stationnement hit consommation ktkon tal3a bzaf ila b9yti dir 1er w tzid 2 khtwat,‎أخويا إلا كانت micro hybride راه هيا هاديك ل’électrique كتهدم فاخ كتخلص فشي embouteillage و stationnement حيت consommation كتكون طالعة بزاف إلا بغيتي دير 1er وتزيد 2 خطوات
Makin la hybrid la Walo kin gha v8 twin turbo essence we tnagham lia m3a rasek ama tonobil fiha moteur dyal Moulinex gha lah yrebah biha bsahtkom we rahtkom.,"Here's the transliteration of the 100 sentences from Arabizi to Arabic script, adhering to your strict rules:"
Ki goul hadra li kan Qader yktbha msali karo,ماكين لا هيدريد لا والو كاين غا ڤيت 8 توين توربو ايسونس و تناغم ليا مع راسك أما تونوبيل فيها موطور ديال مولينكس غا الله يربح بيها بصحتكم و راحتكم.
Khoya whd lmara kont sayg ona ntfk vidyo daylk bryt ntb9o dart ksida,كي قول هضرة لي كان قادر يكتبها مسالي كرو
Ta wach hada motore,خويا واحد لمارا كنت صاغي أنا نتفك فيديو ديالك بريت نتوقعو دارت كسيدة
Yaaa rbi tssme7 lia ch7al mn mra drtha ta ana,تا واش هادا موطور
Haka rah nta kaderlo ichhar ila konhar katloho temk drari limafhmîch ra ydkhlo ando,يا ربي تسامح ليا شحال من مرة درتها تا أنا
ana a sahbi,هاكا راه نتا قادرلو يشهر إلا كونهار كاتلوهو تمك دراري ليمافهميش را يدخلو عندو
RS7 L7a9i9a lmorra,أنا أصحابي
chof ki kaytrigl 3la dri,RS7 الحقيقة المرة
had no3 din mo kaychof lbnat kaydsr,شوف كي كايترگل على دري
Wa rba3t l3ahirat o sadate lah in3alkom,هاد نوع دين مو كيشوف بنات كيدسر
Kayhsab lihom tam3in rir flflos la Ila kan rir m39ol okaybrini nmot m3ah ana,و ربعت لاهيرات و سادات الله ينعلكم
Bsah kina wlh mktbti ana w93 liya ms hmdlah bzrb tjnbt wka drb fih fjnb me hmdlah,كيحسب ليهم تمن رير فلوس لا إلا كان رير معقول اوكيبرني نموت معاه أنا
Nta b3da rak h99tih kyti ana li dima na3sa kanhlm,بصاح كينا والله مكتبتي أنا و93 ليا مس الحمد لله بزرب تجنبت و كادرب فيه فجنب مه الحمد لله
Kathama9,نتا بعدا راك ه99تي كيتي أنا لي ديما نعسة كانحلم
"Parcage n9i, billet a l'extérieur wesh ghi l sehab l cup oula 9te3ti mn site dial Bilbao ?",كاتهماق
Rbi yhfadhom mn kol char lah ykon m3ahom,باركاژ نقي، بيليه ل'خارج و ش گهي ل صحاب ل كوب اولا قتعتي من سايت ديال بيلباو؟
Hhhhh 3ndi 6 DH,ربي يحفظهم من كل شر الله يكون معاهم
Kolchi 3la yalah khditha hhh,هههه عندي 6 درهم
hada 3adi ykon weldo li hasbinah mat,كلشي على يلاه خديتها ههه
Ma hdrtich 3la l Giallo wakha fiha aflam Wa3rine surtout dyal Dario Argento,هادا عادي يكون ولدو لي حسبناه مات
Wach dak rajl makhdawch lih 7a9o man had nas,ما هدرتش على ل جالو واخا فيها أفلام واعرين خصوصا ديال داريو أرجينتو
Le7yt sa3ida berojla lahe ysree,واش داك رجل ماخداوش ليه حاجة من هاد ناس
Tahyati t5rbicha darori,لحيت سعيدة بروجلا الله يسري
Mh MehDi lhdra litaygoliya 39li w9 had lyamat,تحياتي ت5ربش ضروري
3lach ghaber 7akimi nti asir t9awdi fin ma nhzo tilifon tl3olina,مه مهدي الهضرة ليتگوليا 39لي و 9 هاد ليامات
Hhh 12 lsa3a,علاش غابر حكيمي نتي أسير تقودي فين ما نحزو تليفون تلعولنا
mhamd say9,ههه 12 الساعة
tfoo chni dk lbaas htaraam'gha dak malaeika bntk mskinaa,مهمد صايغ
3lach ghaber 7akimi nti asir t9awdi fin ma nhzo tilifon tl3olina,تفو شني دك لباس حرآم'غا دك ملايكة بنتك مسكينة
Bravo khay Choaaib Gamssi Men a7san nas chuftom fhad social media. Ta7yati al khawa,علاش غابر حكيمي نتي أسير تقودي فين ما نحزو تليفون تلعولنا
Wald nass kima katfar7 nass gadi ifrahak lah hadchi zwine kamal khoya chouaib,برافو خاي شوايب گامسي من أحسن ناس شفتوم فهد سوشل ميديا. تحياتي الخوا
Oulaaaah ta bhali fima n9ra shi haja kanhbss,ولد الناس كيما كاتفرح ناس غادي يفرحك الله هذي زوينة كامل خويا شوايب
Imad badel l’far9a,أولااه تا بهالي فيما نقرا شي حاجة كانحبس
Chi maw9i3 ntilichqrgiw mno aflam,إيماد بدل الفرقة
Lah yjib li ykhaf elina hta hna,شي موقع نتليضرغي منو أفلام
wta 3adna f fes hay 45 hta how khattar,الله يجيب لي يخاف علينا حتا هنا
Imad badel l’far9a,وتا عدنا ف فاس هاي 45 حتا هو خطر
Bnat khashom ya3tiw tissa3 lhad domin dyal mwatar hit makay3afoch f mécanique dyal motor,إيماد بدل الفرقة
Madawich 3la dz dawi 3la 9ard,بنات خاشوم يعطيو التسا3 لهاد دومين ديال موطار حيت ماكيعافوش ف ميكانيك ديال موطور
Chtayha m9awda,مداويش على دز داوي على 9رد
iwa rh knt3jb wx rtkhrj bin dok rmokat kifx rdir liha allah a3lem,شتايحة م9ودة
Rakom 7amdin,إوا رح كنتعجب و رتكخرج بين دوك رمكات كيفخ ردي ليها الله أعلم
R ah hadchi li dar machi rojla kibayn fmarto godam Kolchi ou mkhalta m3a rojala wax hadi Hiya rojla ou laghani hram,راكوم 7امدين
YoUu Nnsee 7lawto tal wahd 10 yam,ر آه هادشي لي دار ماشي روجلا كيباين فمرتو قدام كلشي و مخالط مع رجالة واش هادي هيا روجلا و لغاني حرام
Rakom 7amdin,يو يو ننسي حلاوتو تل واحد 10 يوم
Ykhwilak drase nari 3la madloula w las9a howa kay3taraf bli mabaghi walo w hya ladir harakat morahi9ine w las9a wa nari,راكوم 7امدين
Benni Mellal li hakma Milano A Banti,يخويلك دراسة ناري على مدلولة و لأسقة هوا كايعترف بلي مابغي والو و هيا لادير حركات مروقيين و لأسقة و ناري
Zlaal howa li dayr 3lih lfelm,بني ملال لي حكمت ميلانو أ بنتي
Lah isahal 3liik lkhawa dyali,زلال هوا لي داير عليه لفلم
Yash Ess ablati 3lik,الله يسهل عليك لخوا ديالي
Ch7al dyal l3ya9a f ras l7mar wold adil lmloudi,يش إيس أبلاتي عليك
Azabi machi Red Boll rah RedBull,شحال ديال لعيقة ف راس لحمر ولد أديل الملودي
hh labidyo zzwine walkine t9dre djkr bmwdme bla dake t5sswre lhdra,أزابي ماشي ريد بول راه ريدبول
Wa wlad 9hab rah cha3b azbi fay9 o 3ay9 baraka men tzomil o lkdoub o ljahl o tamtil dial l9lawi diro video bsh o tajriba tkon bsh machi katmchiw chi khela o kikon dayz menha ghir hadak li atsawloh sbhana lah hhhhhh 9wawid wlh,هه لابديو زوين ولكن تقدر دكر بموديم بلا دك تصوير الهضرة
Hadik Ila konti radi fi tri9 m7afra kharig mdina cha3alha,وا ولد 9هاب راه شعب أزبي فايق و عايق باركا من تزوميل و لكدوب و الجهل و التمتيل ديال القلاوي ديرو فيديو بش و تجربة تكون بش ماشي كاتمشيو شي خلة و يكون دايز منها غير هاداك لي اتساوله سبحان الله ههههه 9واويد والله
Wa dacia machi dasya,هاديك إلا كنتي رادي في طريق محفرة خارج مدينة شحالها
Lah yrz9k sa3ada khti,وا داسيا ماشي داسيا
Wa naariii 3la kdab,الله يرزقك سعادة ختي
Ghir lyouma kant ghadirha lia w7da ya Sahbi,وا نااااري على كداب
Chala fach 3adi natfarjo omak katfarj fik db o3jabha elhal wasir man 9akat trabi,غير اليوم كانت غاديرا ليا وحدة يا صحبي
3 songs wa7d ynisk flakhor,شلا فاچ عادي نتفرج و ماك كاتفرج فيك دبا و عجبتها الحال و سير من 9اكت تربي
Kamel broo m9awed,3 songs واحد ينسك فالخور
Kima l3ada,كامل برو م9اود
Cho khtna ki kt3wj fi trmtha hhhh,كيما لعادة
Knt knsena kolchi ila had l3eyba li derti,شو ختنا كي كتعوج في ترمتها ههه
Rotary houa li s3ib z3ma ?,كنت كنسنا كلشي إلا هاد لعيوبة لي درتي
Ktban kilimini mn wjhQ g3ma m3wnaQ ela tcharmil a sat,روتاري هوا لي صعيب زعما؟
9daam had lvidyohat,كتبان كليمني من وجهQ گعما معونQ إلا تشرمل أ سات
had disk f yamato kifach kan kaytle3,قدام هاد لفيديوهات
Tstmeeeee fach chfto howa kay3rfni wana makan3rfch kbhal Ila saybtiha Blige DRI morba3 lhaya ktaf morba3In howa morba3 kbhal ila kharja mn rblx,هاد ديسك ف ياماتو كيفاش كان كايطلع
Ydal nhar kaml howa ytnmar 3la nas fi lkhar khdaha wjha m9am9am,تستميييي فاچ شفتو هوا كايعرفني وانا ماكانعرفش كبحال إلا صايبتيها بليج دري مرابع لحيا كتاف مرابعين هوا مرابع كبحال إلا خرج من ربلكس
Bghit gha n3rf had 143 fin kidi wach tacharok l'walfa yak ?,يدال النهار كامل هوا يتنمر على ناس في لخار خدها وجهه م9ام9ام
Hadik Ila konti radi fi tri9 m7afra kharig mdina cha3alha,بغيت غا نعرف هاد 143 فين كيدي واش تشرك لو الفا ياك؟
Wa dacia machi dasya,هاديك إلا كنتي رادي في طريق محفرة خارج مدينة شحالها
Yassine Oubahssise vinicus nhar ih9d mbapee,وا داسيا ماشي داسيا
Waaaa3ibad llah,ياسين أوباهسيس فينكس نهار إه9د مبابي
