La première fois,البريمير فوا
tassma7,تسامح
lina,لينا
wlik,وليك
Ma3raft,ما عرفت
3lach,علاش
makadkhol,ما كدخل
lkhatar,الخاطر
Husam,حسام
3chiri,عشيري
slm,سلم
3lih,عليه
bzaf,بزاف
Khouya,خويا
hamza,حمزة
al3atifa,العاطيفة
la,لا
khafifi,خفيفي
mn,من
nyt,نيتك
Ana,أنا
kanbghi,كانبغي
raja,رجاء
walakine,ولكن
hadi,هادي
a,أ
kha,خو
Hamza,حمزة
hi,هي
khriti,خريتي
fiha,فيها
3la,على
smiyate,سميات
kidairine,كيديرينة
maysstahlch,مايستاهلش
ta,تا
dak,داك
tenue,تنيو
Banoon,بانون
li,لي
7ssen,حسن
menno,منو
mal3bch,مالعبش
kan,كان
doublure,دوبلور
machi,ماشي
assasi,أساسي
Hadi,هادي
nhar,نهار
lawal,الأول
ta3tik,تعتيك
ta3tik,ديالك
Mehdi,مهدي
Khalouf,خالوف
welah,والله
ta,تا
nsa7bo,نساعبو
tizek,تيزك
hhhh,ههه
tahowa,تهوا
Kan,كان
Mikhali,مخالي
bhalna,بحالنا
hhh,ههه
loudaya,لوداية
Wa,وا
ls9aaaa,السقاع
makayn,ماكاين
li,لي
sifat,صفات
pause,pause
gadak,قدك
nta,نتا
Had,هاد
zbi,زبي
dL'morphine,ديال لمورفين
m'inspiri,م'انسبيري
mn,من
dexter,ديكستر
rule,رول
number,واحد
ftmerphine,فتمورفين
hiya,هيّا
dal3lo,دلعلو
raso,راسو
Abdouelali,عبد العالي
Harkouzi,حركو زي
der,در
nefs,نفس
sa7bi,لصاحبي
Ismail,إسماعيل
Lmesfioui,لمسفيوي
hh,هه
hadchi,هاضي
Ghadi,غادي
ngol,نقول
lik,ليك
Zindin,زندين
Se,سي
MOANING,موانينڭ
LI,لي
KIDIRO,كيديو
97AB,سبعة وتسعين
AFRIBABA,افريبابا
AZBI,ازبي
Ach,آش
dayr,داير
fi,في
wadno,ودنو
wach,واش
salib,ساليب
osamho,واسمحو
liya,ليا
hata,حتا
ntoma,نتوما
chatoh,شتوها
ola,ولا
ghir,غير
ana,أنا
Wa,وا
3la,علا
ghabra,ڭبرا
Hmmmm,همممم
As3mooooo,أسمو
Diro,ديّرو
les,لِس
signalé,سيڭالاي
bach,باش
yb9a,يبقا
endo,إندو
mod,مود
Wahd,واحد
Nta,نتا
3andek,عندك
babak,باباك
3tak,عتاك
l7ayat,الحياة
lah,الله
ykhlaf,يخلف
3ala,علا
papa,بابا
Mdina,مدينة
dyal,ديال
kula,كل
ydber,يدبر
lkro,كرشو
ghi,غي
sir,سير
t9awd,تقود
chibani,شيخاني
l7atek,لحاتك
Tafaha,تفاه
hadchi,هاضي
adrari,أدراري
khsk,خصك
t3ti,تعطي
lbnadm,بنادم
istafd,استفد
stop,ستوب
Farou9,فاروق
dawz,دوز
3andk,عندك
chi,شي
tark,ترك
Rah,راه
m3a,مع
shayabha,شيابها
n3al,نعال
lik,ليك
walidin,والدين
Wa,وا
lah,الله
i3tik,يعطيك
lkhdma,الخدمة
fzekk,في الزك
Ach,آش
darti,درتي
gaaa3,كاع
sda3,سدّع
ras,راس
fl,في
mawa9i3,المواقع
haw,هاو
yalatif,يا لطيف
kolchi,كلشي
msad3o,مسدّع
Khdam,خدام
ra,را
nta,نتا
w3mal,وعمال
flos,فلوس
rir,غير
alflos,الفلوس
ali,اللي
tji,تجي
blhal9at,بالحقّات
nmxo,نمشو
n3amloham,نعاملوها
fjma3,في جماعة
alfna,ألفنا
fdik,في ديك
mrakax,مراكش
Sir,سير
tmot,تموت
10k,عشرة
dsargala,دسرڭالة
9lss,تسّع
syd,لسيد
o,و
hyd,هيد
mn,من
lmizan,الميزان
lbiro,البيرو
dyalo,ديالو
wa,وا
sir,سير
lah,الله
in3al,ينعل
tabon,طابون
mok,موك
ghi,ڭي
t9wad,تقود
yn3al,ينعل
tbon,طابون
Ktbi3,كتبيع
lhot,لحوت
fhl,في
nas,الناس
oktgol,وكتڭول
knt3awn,كنتعاون
m3a,مع
lmaskin,المساكين
S7ab,سحاب
kerro,كرو
fel,في
9obba,القبة
dyl,ديال
berlamane,البرلمان
Bsaliti,بساليتي
bditi,بديتي
tratab,تراتاب
dkhol,دخول
so9,سوق
karak,كراك
khir,خير
Kichti,كيشييتي
nta,نتا
tafartih,تفارتيه
Hadak,هاداك
li,لي
wa9f,واقف
f,في
janb,جنب
tl9a,تلقى
3ando,عندو
master,ماستر
Wach,واش
fik,فيك
tab3a,طباع
ola,ولا
kifach,كيفاش
dima,ديما
chkawi,شكاوي
Nta,نتا
3andk,عندك
tarma,ترما
kbira,كبيرة
Nadi,ناضي
akhoya,أخويا
oktr,أكتر
lina,لينا
mn,من
vidyohat,فيديوهات
dyal,ديال
trinag,ترينڭ
lmostawa,المستوى
motawasit,متوسط
chwiya,شوية
bla,بلا
Montag,مونتاج
rah,راه
vvidyohat,فيديوهات
nadyin,ناضي
brojol,بروجول
Les,ليس
accessoires,اسيسوار
la,لاموتوس
très,تري
importantes,مهمة
Ana,أنا
andi,عندي
cool,كول
la,لا
Hheihhrih3uggeiehi3hdhv3fj4ibcdjfhivfu,ههيهريهڭيهيههدحففجأربعةيبسدجفحيفوفو
dhchf,دشف
Maybe,ممكن
Mouad,موعد
z3em,زعيم
Ax,آش
had,هاد
lkhra,لخرا
mal,مال
fmk,فمك
bhala,بحالا
tatfrani,تتفراني
bieh,بيه
Awdi,أودي
ana,أنا
chari,شاري
kask,كاسك
dah,داه
chi,شي
wa7d,واحد
fo9,فوق
motor,موتور
wlha,والله
ta,تا
7a9dni,حڭدني
1200dh,ألف ومئتين درهم
mechat,مشات
hiya,هيّا
li,لي
kanksb,كانكسب
daba,دابا
3adi,عادي
ta3,تع
120dh,مية وعشرين درهم
ana,أنا
dima,ديما
wlah,والله
la n3as,لا نعاس
fkhatro,فخاطرو
Sir,سير
tahwa,تهوا
9ad,قدام
afomak,فومك
Ma9siyin,معقسيين
man,من
ch7al,شحال
hadi,هادي
Kitelecharger,كيتلشارجيه
gha,غا
mn,من
Utorrent,يوتورنت
makinf3,ما كنفى
b,ب
walo,والو
Ma,ما
ki,كيسوبير
suporter,كيسوبير
7ta,حتا
chi,شي
série,سيري
ga3,ڭاع
Oki3ti,اوكيعتي
ra2yo,رايوه
game of thrones,ڭيم اوف ترونس
khassro,خسرو
2 seasons,سيزونين
lkhrin,لخريين
Hhh,ههه
chkon,شكون
3rf,عرف
bli,بلي
glso,ڭلسو
mora,مورى
lvidyo,لفيديو
Lah,الله
ihfdkom,يحفدكوم
l3in,العين
achbab,اشباب
7mida,حميدة
setar,سطار
kay3ti,كيعطي
had,لهاد
nou3,النوع
selya,سليا
Khasha,خاشة
yhakha,يحكا
mzn,مزن
tabrad,تبرّد
Khoyti,خوتي
3ezaz,عزيز
Dando,داندو
pro,برو
max,ماكس
radjla,راجلة
ta3,تع
doka,دوكا
Kon,كون
drto,درتو
porno,بورنو
hsnlikom,حسن ليكوم
men,من
had,هاد
chouha,شوهة
3gouba,عقوبة
likom,ليكم
3okacha,عكاشة
Dkhl,دخل
3ndi,عندي
l9ana,لقانا
akhoya,أخويا
dir,در
motaba3a,متابعة
layhfdk,ليه حفظك
Wax,واخ
yialh,يالاه
waslok,واسلوك
diask,ديسك
Hta,حتا
kano,كانو
gor,جور
sar9o,سرقو
likom,ليكم
dak,داك
téléphone,التليفون
Tafaha,تفاه
khashome,خاشوم
lhabse,للحبس
tfouuuu,تفوّووو
forma,فورما
dyal,ديال
lakhra,الخرا
Mo3awa9a,معاوضة
meskina,مسكينة
Bdito,بدّيتو
sa3aya,سعاية
bravo,برافو
l7acharat,للحشرات
3alae,علاء
ma3nda,ماعندوش
walo,والو
taba3,تباوع
fiha,فيها
kytkom,كيتكوم
t9ylo,تڭيلو
tnfkhoo,تنفخو
Fra3ti,فراعتي
lina,لينا
krna,كرنا
akhtii,أختي
nti,نتي
had,هاد
rajlaak,راجليك
ana,أنا
ghir,ڭير
nhawik,نهاويك
mn,من
do9mk,دوڭمك
Daba,دابا
hada,هادا
jwaj,جوج
Ach,آش
had,هاد
rojola,الروالة
t,تقلاوي
Hada,هادا
lmghreb,المغرب
El Mehdi,المهدي
Gastoune,كاستون
jrya,جرى
li,لي
kay dir,كيدير
rudiguer,روديڭير
fach,فاك
katkoun,تكون
la3b,لاعب
ela,إلا
lhbot,لهبوت
3andak,عندك
l9alwa,القلوا
tmout,تموت
Ras,راسي
1,وحدة
tjbed3lih,تجبدلي
Ya,يا
bent,بنت
9ahba,قهبة
lonika,لونيكا
rajlk,راجلك
NTI,نتي
ka dhri,كاضري
hssen,حسن
Meno,منو
tanian,تانيان
Ra,را
chwahtona,شوهتنا
F,ف
l'Europe,أوروبا
ma kainach,ما كاينش
hadchi,هاضي
ya,يا
wlad,ولاد
lkhab,الخاب
ta,تا
ila,إلا
daroh,دارو
machi,ماشي
selmin,سلميين
Howa,هوا
beyedo,بيديو
khesoo,خصو
yjerii,يجري
morah,وراه
Mskina,مسكينة
m9daha,مقداها
farha,فرحة
Iwa,إوا
chno,شنو
ngol,نقول
likom,ليكوم
ntmna,نتمنى
rabi,ربي
yhrmna,يحرمنّا
mn,من
Hada,هادا
rajil,راجل
haxa,هاكس
Ikon,يكون
mafehxe,مافهكس
nesma,نسمة
de,د
rojolaa,روجولا
tfoo,تفو
Fin,فين
5liti,خليتي
bzazlk,بزازلك
Nari,ناري
ma3andhach,معنديش
bzazal,بزازال
Winston,وينستون
safi,صافي
Ha,ها
l9hiba,لهيبة
oha,وها
swimil,سيميل
Hadchi,هادي
ra,را
ki,كيديرو
diroh,دي
gha,ڭا
9lal,ڭلال
trabi,ترابي
ana,أنا
Kayjri,كيجري
fhal,فحال
chi,شي
khba,خبة
fiha,فيها
les,ليس
règles,ريڭل
LA,لا
SDAR,صدار
KARR,كرر
F7AL,فحال
TAYRA,طيرا
BGARR,بڭار
Awil,أول
3la,علا
chwha,شوهة
Bghina,بغينا
ghir,ڭير
c50,خمسين
malginaha,مالڭيناه
3ad,عاد
super,سوبر
Car,كار
Dini,ديني
m3ak,معاك
Sma3t,سمعت
had,هاد
disQ,ديسك
fi,في
2018,ألفين وثمانية عشر
oriskit,وريسكيط
2022,ألفين واثنين وعشرين
Machi,ماشي
khayb,خايب
dyotiiii,ديوتي
Chkoun,شكون
7assen,أحسن
Chkon,شكون
rayatzawaz,راي تزواج
bwas3a,ببساطة
tfo,تفو
3lik,عليك
alkhanza,الخانزة
Ba3alla,باغى
wakha,والا
jalda,جلدا
kahla,كحلا
rah,راه
l9alb,القلب
byad,بيض
Ahesan,أحسن
3acheran,عاشرن
lay,لاي
khalikom,خليكوم
ba3ediytkom,بعديتكوم
Sari,ساري
lh,له
sahli,سهلي
3lik,عليك
1,واحد
dh,ديال
la3b,لعب
gta,جي تي أ
hhh,ههه
3xirk,أخيرك
wax,واش
5tk,ختك
dima,ديما
haka,هكاك
hnina,حنينة
Nta,نتا
whd,واحد
mistara,مستار
m3rt,معرف
fin,فين
htitha,حطها
Ba3alla,باغي
7agrinak,حكرناك
aeshiriii,أشييري
bayan,باين
Liya,ليا
Kayn,كاين
brojola,بروجولا
apar,أبار
lhmoda,اللحمودة
fhadi,فهادي
nadi,نادي
khoya,خويا
ba3la,باغى
La,لا
hadi,هادي
bzaf,بزاف
Ta,تا
ser,سير
thhwa,تهوا
ma,ما
tl3ti,تلصتي
lya,ليا
f,في
facebook,فيسبوك
mn,من
2024,ألفين وأربعة
ylh,يله
thnina,ثنينة
l7moda,اللحمودة
dylk,ديالك
malk,مالك
asahbi,أصحابي
had,هاد
halala,الحالة
rebi,ربي
yr7amhaaa,يرحمها
Fine,فين
kanya,كاينا
Had,هاد
bali,بالي
Siri,سيري
tkhdmo,تخدمو
raskom,راسكوم
l7lal,للحلال
7diw,حديو
Liya,ليا
lkhwa,الإخوة
lkhawi,الإخوة
nas,ناس
katmout,كاتموت
bjo3,بالجوع
toma,توما
diro,ديرو
lkdoub,لقدوب
dyalkom,ديالكم
Kayn,كاين
LAH,الله
Dake,داك
safa,صفاء
rire,ريرة
se3ay,سعاي
3afak,عافاك
tala3ni,طالعني
ntoma,نتومة
rojola,رجولة
mahdi,مهدي
bzff,بزاف
golih,قوليه
i,يثلا
khalti,خالتي
3ira,عيرا
gito,جيتو
lkahwa,للكافية
keyna,كاينا
hda,هاد
darna,دارنا
machi,ماشي
frassi,فراسي
thiyati,ثياتي
ra,را
ket,كتعجبني
Slm,سلم
3andk,عندك
dyal,ديال
dimx,ديمكس
Salam,سلام
koya,كوية
kasni,كسني
kromi,كرومي
rizifwar,ريزيفوار
toyota,تويوتا
2015,ألفين وخمسة عشر
wili,ويلي
7chamtoh,حشمتوه
mskin,مسكين
omakhlito,أو ماخليتوه
hch,حش
ikaml,إكمال
n3aso,نعسو
Hhhh,ههه
faytli,فاتلي
wa93tli,وقعتلي
lwalid,لواليد
dakhl,داخل
3lya,علية
zlajlya,زلاجة
lbit,لبيت
o,وأنا
ana,أنا
na3s,نعس
hchamt,حشمت
nfi9,نفيق
wakha,واخا
kont,كنت
fay9,فايق
dart,درت
rasi,راسي
Hit,حيت
nta,نتا
kathdar,كتهدر
ala,على
ssah,الصاح
hadchi,هادشي
alach,علاش
Tadkhol,تدخول
sari3,سريع
allah,الله
isihl,يسهل
3lik,عليك
wana,وانا
mnity,منيتي
kantsnah,كنتسناه
igol,يقول
wali,والي
labsa,لابسا
srwal,سروال
thydo,تيدو
sa3a,ساعة
Hadi,هادي
ghir,غير
okhoya,أخويا
Gol,قول
ldak,لداك
za9of,الزعوف
dyal,ديال
sahbk,صاحبك
itkays,يتكايس
3la,على
tomobil,طوموبيل
nhar,نهار
tnin,اثنين
tkon,تكون
3ndi,عندي
f,ف
Ba7rta,بحرتا
Hmd lah kychg3,الحمد لله كيشجع
Sbah,صباح
dar,دار
dyemak,ديماك
raha,راهي
F7al,فعال
sakna,سكنة
fel3era9,فعراڨ
wach,واش
hadi,هادي
la,لا
l,ال
khnona,الخنونة
tea7achnak,تعاچناك
Ayman,أيمن
Tazarhine,تازري
had,هاد
le9ta,اللقطة
bhala,بحالها
fayt,فات
chayfha,شافها
ma39alt,ماعقل
fin,فين
saraha,سارها
Amin,أمين
m9wad,مقود
Ta,تا
ana,أنا
nefs,نفس
mochkil,المشاكل
chno,شنو
l7al,الحل
nafs,نفس
Fin,فين
kayn,كاين
had,هاد
bhar,البحر
pirmoda,بيرمودا
Khoya,خويا
Wax,واش
mazal,مازال
kaybi3,كايبيع
hout,الحوت
Rome,روما
na9sa,ناقصة
bzaf,بزاف
Mondeyal,مونديال
hewa,هو
li,اللي
naqesna,ناقصنا
Tri9,طريق
salama,السلامة
akhoya,خويا
l3ziz,العزيز
Salam,سلام
kan,كان
mina,من
l2ahsan,الأحسن
dak,داك
sardine,السردين
thiydi,تعطي
lihe,ليه
sansul,سانسول
hawli,حوالي
t9adihe,تقاديه
fdar,في دار
alah,الله
ishal,يسهل
3lik,عليك
akhti,أختي
Concept,كونسيبت
nadi,نادي
ma,ما
kayench,كاينش
khoh,خو
Chno,شنو
smiyet,سمية
track,الأغنية
tel9ohe,لقيتي
dir,دير
balk,بالك
3liha,عليها
Db,دبا
ghir,غير
Wahed,واحد
so2al,سؤال
osmahliya,و سمح ليا
wach,واش
t9bal,تقبل
bkhtek,بختك
fhal,بحال
hakak,هكاك
m3a,مع
chi,شي
had,واحد
ob9a,ابقا
i9isha,يعيش
o3iiiid,وعيد
somohat,سومحات
Askm,أسأل
Oud,السيد
Hamza,حمزة
nta,نتا
Ahsan,أحسن
okla,أكلة
3andi,عندي
ana,أنا
Diha,ديها
fi,في
rasak,راسك
tkon,تكون
haza,هاذي
lbida3a,البداعة
idar,إدار
lik,ليك
b9a,بقا
trakab,تركب
tay,تاى
rakbo,راكبو
3lik,عليك
prof,بروف
Dok,دوك
la9atag,لاقطة
dyal,ديال
six,ستة
jhhhhh,جيهههه
Ilyàs,إلياس
Kidây,كيداي
Nta,نتا
Ba3ella,باغى
bejbejha,بيجبهة
Ma,ما
manouche,مانوش؟
A,أ
khoy,خويا
ashkdir,آش خْديْر
3ndk,عْندك
kniya,كنية
dyli,ديالي
Chno,شنو
bgha,بغا
warina,ورّانا
tramto,ترامتو
was3a,واسعة
z3ma,زعما
Restaurant,Restaurant
dial,ديال
hout,حوت
fih,فيه
ghir,غير
roz,رز
o,و
djaj,دجاج
bouzroug,بوزروغ
b,ب
200dh,مية وعشرين درهم
wach,واش
nta,نتا
labas,لباس
Khouya,خويا
rak,راك
rakeb,راكب
3la,على
motor,موتور
bmw,bmw
rah,راه
kay7chem,كيحشم
may3tikch,مايعطيكش
tri9,طريق
mashi,ماشي
sanya,سانية
Wnta,ونتا
aslan,أصلًا
tatsog,تصوغ
sogan,صوغان
3achwaii,عاشواي
wmachi,وماشي
9anoni,قنوني
Ana,أنا
3rafak,عرفك
a5ti,أختي
mhtaja,محتاجة
Sadi9i,صديقي
3aliya,عليها
rajlk,رجلك
nahwihe,ناحية
Had,هاد
page,الصفحة
mohdha,مهدا
li,لي
mzl,مزال
kadahkni,كادهكني
hhhhhhh,هههههه
yb9a,يبقا
y9lb,يقلب
hta,حتا
ytih,يطيح
3la,على
chwhd,شوهد
15/15,خمسة عشر
san,من
chb3ana,شبعانة
9sim,قسيم
dik,ديك
sa3a,ساعة
ychof,يشوف
jtni,جاتني
ghlya,غليا
xwya,خويا
Li,لي
darb,درب
hajbo,حاجبو
Z..,ز..
3ajbo,عجبه
Allah,الله
ihfdhom,يحفظهم
lik,ليك
ou,و
allah,الله
iba3d,يبعد
3lihom,عليهم
Cher,شر
khl9,خلقة
a,أ
khoya,خويا
A7la,أحلى
wa7la,وأحلى
taha,تاهى
I,إي
tahiyatii,تحياتي
ba,با
Mouad,موعد
El,البواناني
Bouânani,البواناني
l9lb,القلب
lbyad,لبيض
Hât,هات
lfa5r,الفقر
ojbd,وجبد
dylo,ديالو
ogliha,أوغليها
chaychi,شيشي
Tbark,تبارك
lah,الله
machaa,ماشاء
charf,شرف
lya,ليا
nchof,نشوف
wld,ولد
nas,الناس
b7alk,بحالك
kikhalw,كخلوا
whd,وحدة
basma,بسمة
zwina,زوينة
nas,ناس
okhrin,آخرين
alhmdoulilah,الحمد لله
bsaliti,بسلتي
bazaf,بزاف
mashi,ماشي
chwiya,شوية
Ga3,كل
li,لي
3ndo,عندو
snap,سناب
maxi,ماكسي
Rajl,راجل
Aslan,أصلان
Ma3merni,ماعمرني
tfrejt,تفرجت
the sopranos,the sopranos
rir,غير
nz3em,نزعم
3lih,عليه؟
Chwiiya,شوية
lwahed,واحد
Awadi,أوادي
ana,أنا
Howa,هوا
la3jal,لا عجل
hhh,ههه
Nti,نتي
7chouma,حشومة
3lik,عليك
m3edya,معدية
dak,داك
lwliyed,الوليد
Bach,باش
m'n,من
79,تسعة و سبعين
katsouweri,كاتصوري
9asser,قصور
bidoun,بدون
idn,إذن
7e9ou,حقوق الإنسان
i3ich,باش يعيش
toufoula,طفولة
3adiya,عادية
fach,وملي
ikber,يكبر
mayl9ach,مايلقاش
video,فيديو
dialou,ديالو
f,في
internet,الإنترنت
Houa,هوا
rah,راه
da7iya,دعوة
dialk,ديالك
Lah,الله
irza9naa,يرزقنا
bxi,بxi
tmax,تماخ
wta7iyati,و تحياتي
lik,ليك
kadir,كيدير
vidéo,فيديو
kayl9a,كيلاقي
telefon,تلفون
hhhh,ههه
tiya9tk,تياقتك
chof,شوف
lokhrine,لخريين
wach,واش
tay9ok,تايكوك
Kifash,كيفاش
kolchi,وكلشي
sad,صاد
lhadjih,لهدجيج
3chirek,عشيرك
sicliss,سيكليس
khela,خلى
fiha,فيها
lfilter,الفلتر
darrori,ضروري
y,ي
tvérifa,تفرّيفا
Daba,دابا
chni,شني
9altilo,قالتي
Kolchi,كلشي
man,من
tarbia,تربية
wache,واش
fanadarek,فنادرك
daba,دابا
maa,ما
khasak,خاصك
hadi,هادي
dial,ديال
téléphone,تليفون
kadahki,كادهكي
ala,علا
siri,سيري
guabli,غابلي
waldak,ولدك
obaadih,اباديو
hade,هادشي
chi,ليكيدير
rah,راه
radi,غادي
tjharji,تجارجي
alihhhhhh,عليههههه
Golo,قولو
3nd,عند
mok,موك
lkbda,لكبدة
bach,باش
dir,دير
had,هاد
l3ibat,اللعبة
bnadm,بنادم
mo3wa9,موعوق
ana,أنا
b3da,بعدا
makantrink,ما كترنك
ma,ما
walo,والو
nchd,نشد
lwi,لوي
lik,ليك
3n9k,عنق
Wa9ila,واقيلا
kay3ti,كيعطي
trmto,ترمتو
Hadi,هادي
micro-hybrid,micro-hybrid
al,الحمرة
7mar,إذن
tonobil,السيارة
98%,بنسبة تسعة وتسعين
essence,بالمئة بنزين
sewel,سائل
3ad,ثم
dir,صور
video,فيديو
al,ال
kidar,كيدار
fiha,وفيها
ghir,غير
motor,محرك
essence,بنزين
wahed,واحد
batterie,بطارية
40,أربعين
kw,كيلوواط
Had,هاد
MHEV,MHEV
peugeot,بيجو
tmchi,كاتمشي
fabor,بسرعة
tstationne,تستانسي
Akhuya,أخويا
micro hybride,micro hybride
rah,راهي
hadik,هاديك
électrique,الكهربائية
kikhdem,كتشغل
fach,ملي
kthsl,كتخلص
embouteillage,ازدحام
stationnement,وقوف السيارات
consommation,الاستهلاك
tal3a,عالي
bzaf,بزاف
dir,دير
1er,المرحلة الأولى
tzid,تزيد
Makin,ماكين
la,لا
Walo,والو
kin,كاين
v8,محرك ڤيت ثمانية
twin turbo,توين توربو
essence,بنزين
tnagham,تناغم
lia,ليا
m3a,مع
rasek,راسك
ama,أما
tonobil,السيارة
fiha,فيها
Molinex,مولينكس
lah,الله
yrebah,يربح
biha,بها
bsahtkom,بصحتكم
rahtkom,وراحتكم
Ki,كي
goul,تقول
hadra,هضرة
li,لي
Qader,كان
yktbha,يكتبها
msali,مسالي
karo,كرو
Khoya,خويا
lmara,المرة
kont,كنت
sayg,صاغي
ona,أنا
ntfk,نتفك
vidyo,فيديو
daylk,ديالك
bryt,بريت
ntb9o,نتوقعو
dart,دارت
ksida,كسيدة
Ta,تا
wach,واش
hada,هادا
motore,موطور
Yaaa,يا
rbi,ربي
tssme7,تسامح
ch7al,شحال
mn,من
mra,مرة
drtha,درتها
ta,تا
ana,أنا
Haka,هاكا
rah,راه
nta,نتا
kaderlo,قادرلو
ichhar,يشهر
ila,إلا
konhar,كونهار
katloho,كاتلوهو
temk,تمك
drari,دراري
limafhmîch,لي ما فهموش
ra,را
ydkhlo,يدخلو
ndo,عندو
ana,أنا
sahbi,صاحبي
RS7,رأس
L7a9i9a,الحقيقة
lmorra,المرة
chof,شوف
ki,كيف
kaytrigl,كا يترگل
dri,دري
had,هاد
no3,نوع
din,دين
mo,ما
kaychof,كيشوف
lbnat,بنات
kaydsr,كيدسر
Wa,و
rba3t,ربعت
l3ahirat,لاهيرات
o,و
sadate,سادات
lah,الله
in3alkom,ينعلكم
Kayhsab,كا يحسب
lihom,ليهم
tam3in,تمنين
rir,غير
flflos,فلوس
la,لا
Ila,إله
kan,كان
m39ol,معقول
okaybrini,كبرني
nmot,نموت
m3ah,معاه
Bsah,بصاح
kina,كينا
wlh,والله
mktbti,مكتبتي
w93,و قع
liya,ليا
ms,مس
hmdlah,الحمد لله
bzrb,بسرعة
tjnbt,تجنبت
wka,وكادرب
fih,فيه
fjnb,في جنب
me,مه
Nta,نتا
b3da,بعدا
rak,راك
h99tih,هقيتيه
kyti,كيتي
li,لي
dima,ديما
na3sa,نعسة
kanhlm,كانحلم
Kathama9,كاتهماق
Rbi,ربي
yhfadhom,يحفظهم
mn,من
kol,كل
char,شر
lah,الله
ykon,يكون
m3ahom,معاهم
Kolchi,كلشي
3la,على
yalah,يلاه
khditha,خديتها
hhh,هـ
hada,هادا
3adi,عادي
weldo,ولدو
li,لي
hasbinah,حسبناه
mat,مات
Ma,ما
hdrtich,هدرتش
l,ل
Giallo,جالو
wakha,واخا
fiha,فيها
aflam,أفلام
Wa3rine,واعرين
surtout,خصوصا
dyal,ديال
Dario,داريو
Argento,أرجينتو
Wach,واش
dak,داك
rajl,الراجل
makhdawch,ما خذاوش
lih,ليه
7a9o,حقه
man,من
had,هاد
nas,الناس
Le7yt,واش
sa3ida,داك
beroja,الراجل
lahe,ما خذاوش
ysree,ليه
Tahyati,تحياتي
t5rbicha,تخرّبش
darori,ضروري
Mh,مه
MehDi,مهدي
lhdra,الهضرة
litaygoliya,اللي تيقولي
39li,تسعة وعشرين
w9,و تسعة
had,هاد
lyamat,الأيام
3lach,علاش
ghaber,غابر
7akimi,حكيمي
nti,نتي
asir,أسير
t9awdi,تقودي
fin,فين
ma,ما
nhzo,نحزو
tilifon,تليفون
tl3olina,تلعولنا
12,اثنتي
lsa3a,ساعة
mhamd,الحمد
say9,الساعة
tfoo,تفو
chni,شني
dk,دك
lbaas,لباس
htaraam'gha,حرآم'غا
dak,دك
malaeika,ملايكة
bntk,بنتك
mskinaa,مسكينة
Bravo,برافو
khay,خاي
Choaaib,شوايب
Gamssi,گامسي
Men,من
a7san,أحسن
nas,ناس
chuftom,شفتوم
fhad,فهد
social media,سوشل ميديا
Ta7yati,تحياتي
al,ال
khawa,الخوا
Wald,ولد
nass,الناس
kima,كيما
katfar7,كاتفرح
gadi,غادي
ifrahak,يفرحك
lah,الله
hadchi,هادشي
zwine,زوين
kamal,كامل
khoya,خويا
chouaib,شوايب
Oulaaaah,أولاً
ta,تا
bhali,بهالي
fima,فيما
n9ra,نقرا
shi,شي
haja,حاجة
kanhbss,كانحبس
Imad,إيماد
badel,بدل
l’far9a,الفرقة
Chi,شي
maw9i3,موقع
ntilichqrgiw,نتليضرغي
mno,منو
aflam,أفلام
Lah,الله
yjib,يجيب
li,لي
ykhaf,يخاف
elina,علينا
hta,حتا
hna,هنا
wta,و تا
3adna,عندنا
f,ف
fes,فاس
hay,هاي
45,خمسة
arba3in,وأربعين
how,حتا هو
khattar,خطر
Bnat,بنات
khashom,خاشوم
ya3tiw,يعطيو
tissa3,التسعة
lhad,لهاد
domin,دومين
dyal,ديال
mwatar,مطار
hit,حيت
makay3afoch,ماكيعافوش
f,في
mécanique,ميكانيك
motor,موتور
Madawich,مداويش
3la,على
dz,دز
dawi,داوي
9ard,قرد
Chtayha,شتايحة
m9awda,مقودة
iwa,إوا
rh,رح
knt3jb,كنتعجب
wx,واخ
rtkhrj,رتكهرج
bin,بين
dok,دوك
rmokat,الرمكات
kifx,كيفاش
rdir,ردي
liha,ليها
allah,الله
a3lem,أعلم
Rakom,إوا راكم
7amdin,حامدين
R,را
ah,هادشي
hadchi,هادشي
dar,دار
machi,ماشي
rojla,روجلا
kibayn,كيباين
fmarto,فمرتو
godam,قدام
Kolchi,كلشي
mkhalta,مخالط
m3a,مع
rojala,رجالة
wax,واش
hadi,هادي
Hiya,هيا
laghani,لغاني
hram,حرام
YoUu,يو
Nnsee,ننسي
7lawto,حلاوتو
tal,تل
wahd,واحد
10,عشرة
yam,يوم
Ykhwilak,يخويلك
drase,دراسة
nari,ناري
3la,علا
madloula,مدلولة
las9a,لأسقة
hawa,هوا
kay3taraf,كيعترف
bli,بلي
mabaghi,ما بغى
walo,والو
hya,هيا
ladir,لدار
harakat,حركات
morahi9ine,مروقيين
Benni,بني
Mellal,ملال
li,لي
hakma,حكمت
Milano,ميلانو
A,أ
Banti,بنتي
Zlaal,زلال
howa,هوا
li,لي
dayr,داير
3lih,عليه
lfelm,الفلم
Lah,الله
isahal,يسهل
3liik,عليك
lkhawa,لخوا
dyali,ديالي
Yash,يش
Ess,إيس
ablati,أبلاتي
3lik,عليك
Ch7al,شحال
dyal,ديال
l3ya9a,العياقة
f,في
ras,راس
l7mar,الحمار
wold,ولد
